RYear,RMonth,Location,MajorType,Units,Cost,Bedrooms,Use per Day,unit rate,Use per Bdrm per Day
2021,1,Brookside Meadows,Electric,14519.0,1307.72,235.0,439.96969696969694,0.09006956401956058,1872.2114764667956
2021,1,Brookside Meadows,Water,416.8,4536.58,235.0,28.744827586206895,10.884309021113243,122.31841526045487
2021,1,Brookside Terrace,Electric,2777.0,587.92,528.0,95.75862068965517,0.21171047893410153,181.36102403343784
2021,1,Brookside Terrace,Gas,16.995,150.91,528.0,0.5665,8.879670491320976,1.0729166666666667
2021,1,Brookside Terrace,Water,1850.124,14507.39,528.0,60.6552393442623,7.841306852946072,114.87734724292102
2021,1,Cedar Glen Greens,Electric,6807.0,1262.96,216.0,226.9,0.18553841633612458,1050.462962962963
2021,1,Cedar Glen Residences,Electric,88200.0,8363.59,101.0,3041.3793103448274,0.09482528344671202,30112.666439057695
2021,1,Cedar Glen Residences,Gas,295.8,2159.34,101.0,9.860000000000001,7.3,97.62376237623764
2021,1,Cedar Glen Residences,Water,162.3273,2157.96,101.0,10.472729032258066,13.293882175086999,103.69038645800066
2021,1,Cedarbrook Residences,Electric,3882.0,535.74,142.0,114.17647058823529,0.1380061823802164,804.059652029826
2021,1,Cedarbrook Residences,Gas,135.857,874.26,142.0,3.995794117647059,6.435148722553862,28.1393951946976
2021,1,Cedarcrest Residences,Electric,6874.0,1027.6,296.0,225.1677419354839,0.14949083503054988,760.7018308631212
2021,1,Cedarcrest Residences,Gas,7.5,103.14,296.0,0.25862068965517243,13.752,0.8737185461323393
2021,1,Cedarwood Court,Electric,6737.0,1332.47,560.0,240.60714285714283,0.19778388006531097,429.65561224489795
2021,1,Cedarwood Heights,Electric,12703.0,1479.28,536.0,362.9428571428571,0.11645123199244273,677.1321961620469
2021,1,Cedarwood Heights,Water,1663.0,19655.78,536.0,107.29032258064517,11.819470835838844,200.16851227732306
2021,1,Cedarwood Ridge,Electric,4094.0,870.74,168.0,124.06060606060606,0.21268685881778213,738.4559884559885
2021,1,Cedarwood Ridge,Gas,10.9,187.97,168.0,0.3303030303030303,17.244954128440366,1.966089466089466
2021,1,Cedarwood Ridge,Water,539.3454,4813.99,168.0,22.441557575757578,8.925616126511878,133.58069985569986
2021,1,Forest Glen Apartments,Electric,81429.0,8199.09,388.0,2330.187079831933,0.10069004899974211,6005.636803690548
2021,1,Forest Glen Apartments,Gas,367.4,1917.18,388.0,12.668965517241379,5.218236254763202,32.65197298258087
2021,1,Forest Glen Apartments,Water,598.4415,3296.68,388.0,19.304564516129034,5.5087757115774885,49.75403225806452
2021,1,Forest Hill Apartments,Electric,89700.0,8055.349999999999,372.0,2893.548387096774,0.08980323299888517,7778.355879292404
